2025-04-03 19:52:05,271 [__main__] [INFO] Initializing Ray...
2025-04-03 19:52:10,735 [__main__] [INFO] Creating temporary environment to get action/observation spaces...
2025-04-03 19:52:10,737 [src.satellite_marl_env] [INFO] SatelliteMARLEnv closed.
2025-04-03 19:52:10,737 [__main__] [INFO] Spaces retrieved.
2025-04-03 19:52:10,737 [__main__] [INFO] Configuring RLlib PPO Algorithm...
2025-04-03 19:52:10,738 [__main__] [INFO] Building Algorithm...
2025-04-03 19:52:24,462 [__main__] [WARNING] Could not retrieve policy class name via standard methods.
2025-04-03 19:52:24,462 [__main__] [INFO] Algorithm Built. Using Policy Class: Unavailable (New API stack?)
2025-04-03 19:52:24,462 [__main__] [INFO] 
--- Starting Training for 100 iterations ---
2025-04-03 19:52:26,947 [__main__] [INFO] Iteration: 1/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.48s
2025-04-03 19:52:29,054 [__main__] [INFO] Iteration: 2/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.11s
2025-04-03 19:52:30,973 [__main__] [INFO] Iteration: 3/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 1.92s
2025-04-03 19:52:33,302 [__main__] [INFO] Iteration: 4/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.33s
2025-04-03 19:52:35,462 [__main__] [INFO] Iteration: 5/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.16s
2025-04-03 19:52:37,683 [__main__] [INFO] Iteration: 6/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.22s
2025-04-03 19:52:40,079 [__main__] [INFO] Iteration: 7/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.40s
2025-04-03 19:52:42,388 [__main__] [INFO] Iteration: 8/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.31s
2025-04-03 19:52:44,420 [__main__] [INFO] Iteration: 9/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.03s
2025-04-03 19:52:47,870 [__main__] [INFO] Iteration: 10/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 3.45s
2025-04-03 19:52:50,042 [__main__] [INFO] Iteration: 11/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.17s
2025-04-03 19:52:52,296 [__main__] [INFO] Iteration: 12/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.25s
2025-04-03 19:52:54,548 [__main__] [INFO] Iteration: 13/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.25s
2025-04-03 19:52:56,877 [__main__] [INFO] Iteration: 14/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.33s
2025-04-03 19:52:59,323 [__main__] [INFO] Iteration: 15/100, Timesteps: 0, Mean Reward (Eval/Sample): nan, Iter Time: 2.45s
